font_size,is_bold,is_italic,alignment,indent_left,indent_first_line,space_before,space_after,line_spacing,is_all_caps,starts_with_number,word_count,position_ratio_in_doc,style_name_hash,has_image,is_table_element,label
11.0,0,1,1,0.0,0.0,0.0,18.0,1.0,0,0,2,0.0588,0,0,0,1
12.0,1,0,0,0.0,0.0,0.0,4.0,1.0,0,0,1,0.1176,0,0,0,3
10.0,0,0,3,0.0,0.0,0.0,12.0,1.0,0,0,24,0.1765,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,2,0.2353,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,15,0.2941,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.3529,9,0,1,5
9.0,0,1,1,0.0,0.0,0.0,10.0,1.0,0,0,7,0.4118,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,2,0.4706,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,12,0.5294,0,0,0,4
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,4,0.5882,0,0,0,9
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,5,0.6471,0,0,0,9
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,5,0.7059,0,0,0,9
13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,1,0.7647,0,0,0,2
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,12,0.8235,0,0,0,8
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,15,0.8824,0,0,0,8
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,13,0.9412,0,0,0,8
20.0,1,0,1,0.0,0.0,0.0,12.0,1.0,0,0,8,0.0,0,0,0,0
14.0,0,1,1,0.0,0.0,0.0,36.0,1.0,0,0,5,0.037,0,0,0,1
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,3,0.0741,0,0,0,2
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,2,0.1111,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,20,0.1481,0,0,0,4
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,19,0.1852,0,0,0,4
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,3,0.2222,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,28,0.2593,0,0,0,4
12.0,0,0,3,0.0,1.27,0.0,6.0,1.0,0,0,6,0.2963,0,0,0,4
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.3333,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.3704,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.4074,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.4444,0,0,0,9
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,3,0.4815,0,0,0,2
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,2,0.5185,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,18,0.5556,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,14,0.5926,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,10,0.6296,0,0,0,7
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,3,0.6667,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,20,0.7037,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.7407,0,1,0,6
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,8,0.7778,0,0,0,7
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,1,0.8148,0,0,0,2
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,10,0.8519,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,12,0.8889,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,14,0.9259,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,14,0.963,0,0,0,8
20.0,1,0,1,0.0,0.0,0.0,12.0,1.0,0,0,11,0.0,0,0,0,0
14.0,0,1,1,0.0,0.0,0.0,36.0,1.0,0,0,5,0.037,0,0,0,1
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,3,0.0741,0,0,0,2
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,2,0.1111,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,22,0.1481,0,0,0,4
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,21,0.1852,0,0,0,4
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,4,0.2222,0,0,0,2
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,3,0.2593,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,20,0.2963,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.3333,0,1,0,6
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,8,0.3704,0,0,0,7
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,2,0.4074,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,17,0.4444,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,14,0.4815,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,10,0.5185,0,0,0,7
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,3,0.5556,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,8,0.5926,0,0,0,4
12.0,0,0,3,0.0,1.27,0.0,6.0,1.0,0,0,6,0.6296,0,0,0,4
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.6667,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7037,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7407,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7778,0,0,0,9
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,1,0.8148,0,0,0,2
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,10,0.8519,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,12,0.8889,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,14,0.9259,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,14,0.963,0,0,0,8
20.0,1,0,1,0.0,0.0,0.0,12.0,1.0,0,0,7,0.0,0,0,0,0
14.0,0,1,1,0.0,0.0,0.0,36.0,1.0,0,0,5,0.0385,0,0,0,1
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,3,0.0769,0,0,0,2
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,3,0.1154,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,22,0.1538,0,0,0,4
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,2,0.1923,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,18,0.2308,0,0,0,4
12.0,0,0,3,0.0,1.27,0.0,6.0,1.0,0,0,6,0.2692,0,0,0,4
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.3077,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.3462,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.3846,0,0,0,9
12.0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.4231,0,0,0,9
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,3,0.4615,0,0,0,2
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,3,0.5,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,20,0.5385,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.5769,0,1,0,6
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,8,0.6154,0,0,0,7
13.0,1,0,0,0.0,0.0,12.0,6.0,1.0,0,1,2,0.6538,0,0,0,3
12.0,0,0,3,0.0,1.27,0.0,6.0,1.5,0,0,15,0.6923,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,14,0.7308,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,10,0.7692,0,0,0,7
16.0,1,0,0,0.0,0.0,24.0,12.0,1.0,0,0,1,0.8077,0,0,0,2
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,10,0.8462,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,12,0.8846,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,14,0.9231,0,0,0,8
11.0,0,0,3,0.6,0.0,0.0,4.0,1.0,0,1,14,0.9615,0,0,0,8
